"_time",User,host,"failure_count","success_count"
"2025-12-04T19:20:00.000-0800","DESKTOP-0VN9UV0$","DESKTOP-0VN9UV0",4,12
"2025-12-04T19:20:00.000-0800",labuser,"DESKTOP-0VN9UV0",4,1
"2025-12-04T18:45:00.000-0800","DESKTOP-0VN9UV0$","DESKTOP-0VN9UV0",3,8
"2025-11-08T09:25:00.000-0800","DESKTOP-0VN9UV0$","DESKTOP-0VN9UV0",5,5
"2025-11-08T09:25:00.000-0800",Tim,"DESKTOP-0VN9UV0",5,2
"2025-11-05T19:55:00.000-0800","DESKTOP-0VN9UV0$","DESKTOP-0VN9UV0",4,3
"2025-11-05T19:55:00.000-0800",Tim,"DESKTOP-0VN9UV0",4,2
"2025-11-05T19:50:00.000-0800","DESKTOP-0VN9UV0$","DESKTOP-0VN9UV0",6,7
"2025-11-05T19:50:00.000-0800",Tim,"DESKTOP-0VN9UV0",6,2
"2025-11-05T19:35:00.000-0800","DESKTOP-0VN9UV0$","DESKTOP-0VN9UV0",4,10
"2025-11-05T19:35:00.000-0800",Tim,"DESKTOP-0VN9UV0",4,2
